,ntacode,ntaname,count
388,009136013,009136,0
389,004604051,004604,0
390,005679036,005679,0
391,008528019,008528,0
392,001301056,001301,0
393,004521017,004521,0
394,004306025,004306,2
395,001301057,001301,0
396,005675001,005675,0
397,001301058,001301,0
398,005621071,005621,2
399,005667036,005667,0
400,005667053,005667,0
401,005680027,005680,0
402,008514001,008514,0
403,003212034,003212,0
404,001427004,001427,0
405,008417026,008417,6
406,004527041,004527,0
407,004402041,004402,0
408,004405064,004405,0
409,004402018,004402,0
410,004402020,004402,0
411,005680051,005680,0
412,002548034,002548,0
413,002548099,002548,0
414,008312003,008312,0
415,008312022,008312,0
416,002580036,002580,0
417,004402025,004402,0
418,004406008,004406,0
419,004406005,004406,0
420,004406009,004406,0
421,004406012,004406,0
422,004406014,004406,0
423,004406015,004406,0
424,008540022,008540,0
425,002553001,002553,0
426,004406007,004406,0
427,004406018,004406,0
428,004406021,004406,0
429,006402053,006402,0
430,001310009,001310,0
431,001209007,001209,0
432,004402013,004402,0
433,004405007,004405,0
434,004405009,004405,0
435,004405012,004405,0
436,004405013,004405,0
437,004405014,004405,0
438,001310013,001310,0
439,001325034,001325,1
440,001310014,001310,0
441,001310017,001310,1
442,004405017,004405,0
443,004405018,004405,0
444,004405019,004405,0
445,004405022,004405,0
446,007201017,007201,2
447,004304016,004304,0
448,006423002,006423,0
449,009267049,009267,1
450,002554016,002554,0
451,009267050,009267,0
452,002594013,002594,0
453,002594019,002594,0
454,006402088,006402,0
455,002307013,002307,0
456,004501026,004501,1
457,005684035,005684,0
458,004544031,004544,0
459,002415002,002415,0
460,004309037,004309,0
461,004309038,004309,0
462,005509018,005509,0
463,002415003,002415,0
464,005509009,005509,0
465,004402034,004402,0
466,002415006,002415,0
467,001357014,001357,0
468,002415010,002415,0
469,002415015,002415,0
470,001318017,001318,0
471,004604096,004604,0
472,001329019,001329,0
473,004405027,004405,0
474,004405025,004405,0
475,004405026,004405,1
476,004405028,004405,0
477,004405029,004405,0
478,004405030,004405,0
479,004405031,004405,0
480,004405023,004405,0
481,004405034,004405,0
482,004405036,004405,0
483,004405037,004405,1
484,004304057,004304,0
485,001356034,001356,0
486,001356051,001356,0
487,008106029,008106,0
488,004511010,004511,0
489,009120051,009120,2
490,008526004,008526,5
491,005509014,005509,1
492,005509019,005509,0
493,004309019,004309,0
494,002627073,002627,0
495,004581095,004581,0
496,004309020,004309,0
497,004309021,004309,0
498,001310004,001310,0
499,004309023,004309,0
500,006212013,006212,0
501,001310006,001310,0
502,002594078,002594,0
503,002594083,002594,0
504,004305012,004305,0
505,002594085,002594,0
506,004316012,004316,4
507,009267052,009267,0
508,009267054,009267,2
509,004402064,004402,0
510,004402065,004402,0
511,004402066,004402,2
512,004402069,004402,0
513,002553012,002553,0
514,006417008,006417,0
515,004403006,004403,0
516,004405080,004405,0
517,004405076,004405,0
518,004405078,004405,0
519,004405082,004405,0
520,004405083,004405,0
521,004405084,004405,0
522,004413018,004413,0
523,004405086,004405,0
524,004405087,004405,1
525,004405088,004405,0
526,004406003,004406,0
527,005684032,005684,0
528,004405063,004405,0
529,004413029,004413,0
530,004405069,004405,0
531,004405070,004405,0
532,004405059,004405,0
533,004413031,004413,0
534,006320027,006320,3
535,004316005,004316,0
536,004403014,004403,0
537,004403011,004403,0
538,004403012,004403,0
539,004403013,004403,0
540,001335035,001335,0
541,001419050,001419,0
542,004402054,004402,0
543,004402055,004402,0
544,004402056,004402,0
545,007312002,007312,2
546,004402060,004402,0
547,002549044,002549,0
548,002431034,002431,0
549,004402061,004402,0
550,004402062,004402,0
551,004402063,004402,0
552,004405041,004405,0
553,004405048,004405,0
554,004405049,004405,0
555,004405051,004405,0
556,004405043,004405,0
557,004405053,004405,0
558,004405054,004405,0
559,004405055,004405,0
560,004405046,004405,0
561,004405056,004405,0
562,002566012,002566,0
563,003101020,003101,1
564,004304092,004304,0
565,004304094,004304,0
566,001347076,001347,1
567,004316004,004316,3
568,004310032,004310,0
569,005684036,005684,0
570,005684029,005684,0
571,005684030,005684,0
572,005684031,005684,0
573,004413033,004413,0
574,002538023,002538,0
575,005684033,005684,0
576,005684034,005684,0
577,009218023,009218,0
578,005509020,005509,1
579,004405075,004405,0
580,004406004,004406,0
581,004406006,004406,0
582,004413012,004413,0
583,009211074,009211,0
584,002571084,002571,0
585,004584017,004584,0
586,005509021,005509,2
587,004310006,004310,0
588,005509023,005509,0
589,002571038,002571,0
590,002571042,002571,0
591,002571052,002571,0
592,002571091,002571,1
593,009211080,009211,1
594,002523064,002523,0
595,009218018,009218,1
596,004317004,004317,0
597,005602018,005602,2
598,004317007,004317,0
599,004401002,004401,0
600,004403041,004403,0
601,005602026,005602,1
602,004403042,004403,0
603,005602029,005602,0
604,004403046,004403,0
605,004403047,004403,0
606,004403051,004403,0
607,004403052,004403,1
608,004212002,004212,0
609,004212003,004212,0
610,004212004,004212,0
611,004212005,004212,0
612,004212001,004212,0
613,004212008,004212,0
614,004212009,004212,0
615,004212010,004212,0
616,004212014,004212,0
617,004212015,004212,0
618,004212016,004212,0
619,004212017,004212,0
