,Barrio,acc_transito,homicidios,hurto_autos_x,hurto_comercial,hurto_autos_y,hurto_financieras,hurto_motos,conteo_hurto_residencial,conteo_lesiones_personales,conteo_pirateria,hurto_personas
1715,NIZA SUR II E-11,,,,1.0,,,,,,,
1716,BONAIRE E-10,,,,1.0,,,,,,,
1717,EL CEDRO TUNA ALTA E-11,,,,1.0,,,,,2.0,,
1718,LOS CONSUELOS E-1,,,,1.0,,,,,,,
1719,LUJAN E-10,,,,1.0,,,1.0,,,,
1720,RINCON CEDRO BOLIVAR E-1,,,,1.0,,,,,,,
1721,ESCUELA GRAL. SANTANDER E-6,,,,1.0,,,,,2.0,,6.0
1722,SAN JACINTO E-4,,,,1.0,,,,,2.0,,
1723,EL NARANJAL E-11,,,,1.0,,,,,,,
1724,SAN BLAS (PARCELAS) E-4,,,,1.0,,,,,,,
1725,CANTABRIA E-11,,,,1.0,,,,1.0,1.0,,7.0
1726,CONJUNTO EL PALMAR II Y III E-1,,,,1.0,,,,,,,
1727,BELLAVISTA ALTA E-5,,,,1.0,,,,,1.0,,
1728,EL MOTORISTA E-7,,,,1.0,,,,,2.0,,
1729,CARLOS LLERAS RESTREPO E-9,,,,1.0,,,,4.0,3.0,,16.0
1730,LA REFORMA E-1,,,,1.0,,,,,,,
1731,AGUAS CLARAS E-10,,,,1.0,,,,1.0,,,3.0
1732,VILLA CAROLINA E-11,,,,1.0,,,,,,,
1733,ANTONIO GRANADO SUBA E-11,,,,1.0,,,,1.0,,,5.0
1734,EL AGUINALDO E-11,,,,1.0,,,,1.0,,,
1735,JUNCA Y MONTECITOS E-9,,,,1.0,,,,,,,
1736,CIUDAD SANTA ROSA E-4,,,,1.0,,,,1.0,8.0,,
1737,SAN ISIDRO II SECTOR E-19,,,,1.0,,,,,,,
1738,LA COLINA CAMPESTRE V SECTOR E-11,,,,1.0,,,,,,,6.0
1739,LA PAZ CENTRO E-3,,,,1.0,,,,,1.0,,
1740,UNIDAD RESIDENCIAL AYACUCHO E-8,,,,1.0,,,,,1.0,,
1741,SANTA BARBARA SECTOR SAN ANTONIO E-1,,,,1.0,,,,,,,
1742,ALAMEDA DE TIMIZA E-8,,,,1.0,,,,,2.0,,23.0
1743,EL PORVENIR II SECTOR E-5,,,,1.0,,,,,,,6.0
1744,ACACIA IV E-19,,,,1.0,,,,2.0,1.0,,5.0
1745,CIUDAD SALITRE SPMZ III 14-15 E-13,,,,1.0,,,,,,,
1746,NOGALES DE SUBA E-11,,,,1.0,,,1.0,1.0,,,6.0
1747,SANTA LIBRADA E-10,,,,1.0,,,,,1.0,,4.0
1748,EL PINAR DE SUBA II SECTOR E-11,,,,1.0,,,3.0,1.0,,,26.0
1749,PINARES E-4,,,,1.0,,,,2.0,3.0,,7.0
1750,ALCAZARES DE SUBA E-11,,,,1.0,,,,1.0,,,12.0
1751,SANTA LIBRADA SECTOR LA SUREÑA E-5,,,,1.0,,,,1.0,,,3.0
1752,CALIMA NORTE E-11,,,,1.0,,,1.0,,,,4.0
1753,IBERIA SECTOR III E-11,,,,1.0,,,,,,,
1754,LA ESTANCIA E-9,,,,1.0,,,,,,,
1755,CENTRO EL DORADO E-9,,,,1.0,,,,,1.0,,2.0
1756,CHAPARRAL E-1,,,,1.0,,,,,1.0,,
1757,CALLEJON DE SANTA BARBARA SUR E-18,,,,1.0,,,,,1.0,,2.0
1758,LAS ACACIAS E-8,,,,1.0,,,,1.0,17.0,,
1759,BRASIL SECTOR POTAL Y CASTILLO E-7,,,,1.0,,,,,2.0,,
1760,EL PRECISO E-19,,,,1.0,,,,,,,
1761,QUIRIGUA PLAN SIDAUTO E-10,,,,1.0,,,,,,,
1762,CAMINOS DE SAN CRISTOBAL E-4,,,,1.0,,,,,,,
1763,PALMARES E-10,,,,1.0,,,,,,,
1764,BELALCAZAR NORTE E-13,,,,1.0,,,,,,,
1765,JAVA II SECTOR E-11,,,,1.0,,,,,,,
1766,EL DORADO E-16,,,,1.0,,,,,,,2.0
1767,CIUDADELA EL RECREO ETAPAS 1A-1B-2A E-7,,,,1.0,,,1.0,4.0,2.0,,12.0
1768,ARBOLEDA LA CAMPIÑA E-11,,,,1.0,,,,,,,
1769,BODEGAS DE FONTIBON E-9,,,,1.0,,,,2.0,,1.0,25.0
1770,LOS PORTALES DEL NORTE I E-11,,,,1.0,,,,4.0,,,14.0
1771,URBANA QUIROGA E-18,,,,1.0,,,1.0,2.0,4.0,,27.0
1772,VILLA ANITA USME E-5,,,,1.0,,,,1.0,3.0,,
1773,LA ENERGIA E-13,,,,1.0,,,,,,,
1774,BOSQUE DE NOGALES E-11,,,,1.0,,,,,,,
1775,LA CASTAÑA E-4,,,,1.0,,,1.0,4.0,3.0,,3.0
1776,CHICO RESERVADO I SECTOR E-2,,,,1.0,,,,,,,5.0
1777,PORTOALEGRE E-11,,,,1.0,,,,,,,
1778,RENANIA I ETAPA E-8,,,,1.0,,,,3.0,3.0,,
1779,LA ALAMEDA E-9,,,,1.0,,,,,,,
1780,HACIENDA CORDOBA NIZA VIII E-11,,,,1.0,,,,,,,
1781,PASTEURIZADORA DE LECHE DOLAY E-11,,,,1.0,,,,3.0,3.0,,3.0
1782,LA POSADA E-11,,,,1.0,,,,,,,
1783,FRANCIA E-16,,,,1.0,,,,,,,
1784,LA ESPERANZA II E-10,,,,1.0,,,,,,,
1785,PARQUE DE FONTIBON E-9,,,,1.0,,,,1.0,,,9.0
1786,CALARCA E-8,,,,1.0,,,1.0,,,,
1787,LA AVENIDA BOSA E-7,,,,1.0,,,,1.0,,,
1788,RIVERAS DE OCCIDENTE E-8,,,,1.0,,,,1.0,,,
1789,CAPITOLIO NACIONAL E-17,,,,1.0,,,,,,,
1790,LOS CEREZOS E-1,,,,1.0,,,,,,,3.0
1791,SAN BERNARDINO POTRERITOS E-7,,,,1.0,,,1.0,3.0,3.0,,9.0
1792,SAN GABRIEL NORTE E-1,,,,1.0,,,,2.0,3.0,,4.0
1793,SAN PABLO E-1,,,,1.0,,,,,,,15.0
1794,VILLA XIMENA E-6,,,,1.0,,,,2.0,4.0,,
1795,LOS HEROES E-2,,,,1.0,,,,,1.0,,20.0
1796,PREDIO GIBRALTAR E-8,,,,1.0,,,,,,,
1797,VALLE DE CAFAM II SECTOR E-5,,,,1.0,,,,,,,
1798,SAN ISIDRO SUR E-4,,,,1.0,,,,,1.0,,
1799,SOTILEZA II E-11,,,,1.0,,,,,,,
1800,LA SELVA DORADA E-9,,,,1.0,,,,,,,
1801,EL RECREO DE USAQUÉN E-1,,,,1.0,,,,,,,
1802,CORDOBA E-11,,,,1.0,,,,,,,
1803,CATANIA E-8,,,,1.0,,,,,1.0,,
1804,LA ESPERANZA E-7,,,,1.0,,,,,2.0,,4.0
1805,PALERMO SUR - BRISAS E-18,,,,1.0,,,,2.0,3.0,,3.0
1806,EL PORTAL DE LA FRAGUA E-15,,,,1.0,,,,,,,
1807,LA FRAGUITA ZONA INVADIDA E-15,,,,1.0,,,,,9.0,,
1808,LOS ARRAYANES II E-18,,,,1.0,,,,,2.0,,
1809,REGINA 11 E-9,,,,1.0,,,,,,,
1810,EL CONTADOR E-1,,,,1.0,,,,3.0,,,36.0
1811,LA ORQUIDEA III SECTOR E-11,,,,1.0,,,,,,,
1812,SENA CENTRO NACIONAL E-15,,,,1.0,,,,,3.0,,
1813,LA CAMPIÑA II SECTOR E-11,,,,1.0,,,,1.0,,,
1814,COFRADIA E-9,,,,1.0,,,1.0,1.0,,,10.0
1815,MARIBURE E-11,,,,1.0,,,,,,,
1816,ALTOS DE LA GLORIA E-4,,,,1.0,,,,,1.0,,
1817,LAGOS DE CORDOBA E-11,,,,1.0,,,,,1.0,,
1818,QUIRIGUA SECTOR F E-10,,,,1.0,,,,1.0,,,5.0
1819,EL PORVENIR III SECTOR E-7,,,,1.0,,,,2.0,,,2.0
1820,ALTAMIRA E-8,,,,1.0,,,,,,,
1821,VILLA DE LA LOMA E-8,,,,1.0,,,1.0,1.0,3.0,,
1822,CHICO SUR E-5,,,,1.0,,,1.0,1.0,5.0,,5.0
1823,PREDIO SANTA LUCIA E-18,,,,1.0,,,,,,,2.0
1824,LA PEÑA E-3,,,,1.0,,,1.0,,1.0,,
1825,JAVA I SECTOR E-11,,,,1.0,,,,1.0,,,
1826,BUENOS AIRES E-3,,,,1.0,,,,,1.0,,
1827,FLORESTA DE SUBA E-11,,,,1.0,,,,2.0,,,4.0
1828,LA PAZ E-3,,,,1.0,,,,,,,
1829,LOS GIRASOLES E-10,,,,1.0,,,,,,,
1830,SUBA URB. SANTA CATALINA E-11,,,,1.0,,,,,,,
1831,EL CERRITO E-18,,,,1.0,,,,,1.0,,
1832,BRITALIA E-9,,,,1.0,,,1.0,,,,
1833,SANTA ELISA E-11,,,,1.0,,,,,,,
1834,LA FLORESTA NORTE E-11,,,,1.0,,,1.0,1.0,,,4.0
1835,RESURRECCIÓN IV SECTOR E-18,,,,1.0,,,,,,,
1836,LUCERO MEDIO E-19,,,,1.0,,,3.0,4.0,6.0,,16.0
1837,CIUDAD HUNZA E-11,,,,1.0,,,,5.0,6.0,,12.0
1838,JARDIN E-7,,,,1.0,,,,1.0,,,
1839,NUEVA ARGENTINA E-19,,,,1.0,,,,1.0,,,
1840,VILLA ALICIA E-11,,,,1.0,,,1.0,1.0,,,
1841,SAN LUIS SECTOR ORIENTAL E-13,,,,1.0,,,,1.0,,,
1842,EL RINCON DE PROVENZA E-11,,,,1.0,,,,,,,
1843,SAN ANDRESITO DE LA 20 E-14,,,,1.0,,,,,1.0,,
1844,UNIR II E-10,,,,1.0,,,,7.0,1.0,,6.0
1845,BELLA ESTANCIA E-19,,,,1.0,,,,,12.0,,6.0
1846,COLONIA NORTE II ETAPA E-11,,,,1.0,,,,,,,
1847,LOS MOLINOS II SECTOR E-18,,,,1.0,,,1.0,,1.0,,10.0
1848,NUEVA CALIFORNIA E-1,,,,1.0,,,,,,,
1849,MIRAMAR E-11,,,,1.0,,,,1.0,,,
1850,BOSA NOVA II SECTOR E-7,,,,1.0,,,,1.0,,,8.0
1851,PORTAL DE SAN CARLOS E-18,,,,1.0,,,,,3.0,,
1852,VASCONIA II E-8,,,,1.0,,,,,,,
1853,CIUDADELA LA LIBERTAD E-7,,,,1.0,,,,,,,3.0
1854,PARQUE INDUSTRIAL EL DORADO II E-10,,,,1.0,,,,,,,
1855,JUAN JOSE RONDON E-5,,,,1.0,,,,1.0,,,
1856,JUAN AMARILLO E-10,,,,1.0,,,,,,,2.0
1857,RINCON DE CALAMARI E-1,,,,1.0,,,,,,,
1858,EL TRIUNFO E-3,,,,1.0,,,,,4.0,,5.0
1859,PRADOS DE KENNEDY E-8,,,,1.0,,,,,,,
1860,PUERTA DE ALCALA E-11,,,,1.0,,,,1.0,,,
1861,CORONA Y SURCENTRO E-8,,,,1.0,,,,,,,
1862,CENTRO COMERCIAL BULEVAR E-11,,,,1.0,,,,,,,
1863,ZONA INDUSTRIAL E-6,,,,1.0,,,,,,,
1864,SAN JOSE E-11,,,,1.0,,,,,,,9.0
1865,SAN PEDRO II SECTOR A E-7,,,,1.0,,,,,,,
1866,CASAVIANCA E-19,,,,1.0,,,,1.0,1.0,,3.0
1867,EL VERDUN E-10,,,,1.0,,,,,,,
1868,SAUCEDAL E-8,,,,1.0,,,,,3.0,,
1869,PLAN PARCIAL TIBABITA E-1,,,,1.0,,,,,,,
1870,ALTOS DEL ZUQUE E-4,,,,1.0,,,1.0,1.0,2.0,,
1871,BRASILIA II SECTOR (VILLA BETTY) E-5,,,,1.0,,,,,1.0,,
1872,LA TRANQUERA E-11,,,,1.0,,,,,,,
1873,RESIDENCIA BOSQUE EL REFUGIO E-2,,,,1.0,,,,,,,
1874,GINEBRA E-1,,,,1.0,,,,2.0,1.0,,12.0
1875,DIAMANTE DE ZARZAMORA E-10,,,,1.0,,,,,,,
1876,BRITALIA ALTA E-11,,,,1.0,,,1.0,,2.0,,11.0
1877,LA ALMERIA E-10,,,,1.0,,,,1.0,1.0,,
1878,URB. MARANTA I - II - III SECTOR E-1,,,,1.0,,,,,,,
1879,EL LABRADOR E-12,,,,1.0,,,,,,,
1880,GUAVIO E-3,,,,1.0,,,,1.0,5.0,,3.0
1881,ALMACEN CAFAM MODELIA E-9,,,,1.0,,,,,,,
1882,PINAR DEL COUNTRY E-1,,,,1.0,,,,,,,
1883,COASMEDAS E-11,,,,1.0,,,,,,,2.0
1884,LA CHUCUA SECTOR I - LAS FLORES E-11,,,,1.0,,,,,1.0,,2.0
1885,VILLA SUAITA E-7,,,,1.0,,,,1.0,,,
1886,LAS LOMITAS E-11,,,,1.0,,,,1.0,,,
1887,MINUTO DE MARÍA E-19,,,,1.0,,,,,1.0,,
1888,LOS PINOS FLORENCIA E-10,,,,1.0,,,,,,,
1889,SAN JOSE DE MARYLAND E-7,,,,1.0,,,,,1.0,,2.0
1890,VILLA CINDY E-11,,,,1.0,,,1.0,3.0,3.0,,6.0
1891,GUICANI URBANIZACIÓN E-11,,,,1.0,,,,,,,
1892,SANTA LUCIA LOTES 3 Y 4 E-18,,,,1.0,,,,,,,
1893,GERONA DEL TINTAL E-8,,,,1.0,,,,,,,2.0
1894,LA CALLEJA SANTA COLOMA E-1,,,,1.0,,,,,,,
1895,MARANDU E-19,,,,1.0,,,,,,,3.0
1896,NUEVA CANDELARIA E-1,,,,1.0,,,,,,,
1897,CIUDAD DE HUNZA E-11,,,,1.0,,,1.0,1.0,2.0,,6.0
1898,MIRADOR - NUTIBARA E-19,,,,1.0,,,,,1.0,,
1899,LOS CHIRCALES E-18,,,,1.0,,,1.0,2.0,2.0,,3.0
1900,BOGOTA SUR - LA ESPERANZA E-19,,,,1.0,,,,,1.0,,
1901,AGROPOLIS E-7,,,,1.0,,,,,3.0,,
1902,NUESTRA SEÑORA DE LA PAZ E-7,,,,1.0,,,,,,,
1903,SAN ALBERTO,,,,1.0,,,,,,,
1904,CATALINA II SECTOR E-8,,,,1.0,,,1.0,6.0,,,
1905,BARRANCAS II SECTOR E-1,,,,1.0,,,,,,,
1906,SANTA ROSA E-16,,,,1.0,,,,,,,
1907,EGIPTO E-3,,,,1.0,,,,,,,
1908,GRAN COLOMBIA E-3,,,,1.0,,,,,,,
1909,VILLA LORENA E-11,,,,1.0,,,,,,,
1910,MORALBA E-4,,,,1.0,,,5.0,5.0,8.0,,8.0
1911,TERMINAL MODULO AMARILLO,,,,1.0,,,,,2.0,,2.0
1912,TUNDAMA II ETAPA E-8,,,,1.0,,,,,,,
1913,EL RECREO DE LOS FRAYLES E-11,,,,1.0,,,1.0,1.0,,,4.0
1914,AMERICAS OCCIDENTAL II ETAPA E-8,,,,1.0,,,,,,,
1915,FONDO ROTATORIO E-2,,,,1.0,,,,,,,
1916,EL PEDREGAL E-9,,,,1.0,,,,,,,
1917,AEROPUERTO BODEGAS,,,,1.0,,,,,,,4.0
1918,NUEVA GLORIA E-4,,,,1.0,,,,1.0,4.0,,9.0
1919,SAN FRANCISCO PARTE ALTA E-11,,,,1.0,,,,,,,
1920,EL ANTOJO E-8,,,,1.0,,,,,,,
1921,ATLANTA E-19,,,,1.0,,,2.0,,1.0,,6.0
1922,SANTA PAZ - SANTA ELVIRA E-8,,,,1.0,,,,,,,
1923,SAN FRANCISCO SUBA CENTRO E-11,,,,1.0,,,,,2.0,,
1924,LA GUACA IV SECTOR E-16,,,,1.0,,,,,1.0,,
1925,ALTOS DE LA SALLE E-2,,,,1.0,,,,,,,
1926,NUEVO CHILE E-8,,,,1.0,,,,,1.0,,
1927,PILAR SUR E-16,,,,1.0,,,,,,,
1928,ZARAZOTA 1 E-18,,,,1.0,,,1.0,,,,2.0
1929,COLISEO E-13,,,,1.0,,,,,,,
1930,PRADOS DEL SALITRE II E-13,,,,1.0,,,,,,,2.0
1931,CAÑAVERA E-3,,,,1.0,,,,,,,
1932,MANDALAY SEGUNDO SECTOR E-8,,,,1.0,,,,1.0,,,2.0
1933,VILLA DEL RIO II - VII ETAPAS E-7,,,,1.0,,,,,1.0,,
1934,MALIBU E-11,,,,1.0,,,,,,,
1935,UNIDAD POLIDEPORTIVO KENNEDY E-8,,,,1.0,,,,,,,
1936,ALAMOS II E-10,,,,1.0,,,,,,,2.0
1937,EL TINTAL A.S.D. E-9,,,,1.0,,,,1.0,1.0,,4.0
1938,DUITAMA DESARROLLO E-5,,,,1.0,,,1.0,,2.0,,3.0
1939,LA HUERTA E-5,,,,1.0,,,,,,,
1940,LA PALESTINA E-7,,,,1.0,,,,1.0,2.0,,6.0
1941,RECINTO DE SAN FRANCISCO E-10,,,,1.0,,,,,9.0,,
1942,ALMACEN EXITO III E-8,,,,1.0,,,,,,,2.0
1943,CENTRAL E-16,,,,1.0,,,,,,,3.0
1944,ACIP E-8,,,,1.0,,,,,,,
1945,LAURELES E-4,,,,1.0,,,,,,,
1946,CASANDRA E-9,,,,1.0,,,,,1.0,,
1947,VIANEY E-5,,,,1.0,,,,,,,
1948,SANTA BARBARA III SECTOR E-1,,,,1.0,,,,2.0,,,
1949,PORTADA LA E-2,,,,1.0,,,,,,,
1950,ALAMBRES NACIONALES E-8,,,,1.0,,,,,1.0,,
1951,SANTA BARBARA CENTRAL II Y V SECTOR E-1,,,,1.0,,,,,,,
1952,SAN JOSE II SECTOR A E-7,,,,1.0,,,,2.0,2.0,,
1953,SAN JOSE DE BAVARIA V SECTOR E-11,,,,1.0,,,,,1.0,,7.0
1954,ALMIRANTE PADILLA E-5,,,,1.0,,,,1.0,1.0,,
1955,UNIVERSIDAD ANDES E-17,,,,1.0,,,,,,,
1956,PRADOS DE CASTILLA E-8,,,,1.0,,,,,,,
1957,SAN LUIS VIA LA CALERA E-2,,,,1.0,,,,2.0,7.0,,9.0
1958,MADELENA III Y IV SECTOR E-19,,,,1.0,,,,4.0,,,19.0
1959,MANZANARES E-5,,,,1.0,,,,,,,
1960,CONJUNTO RESIDENCIAL BELVEDERE E-2,,,,1.0,,,,,,,
1961,ALCALA,,,,1.0,,,,,,,
1962,CONJUNTO RESIDENCIAL EL PARQUE E-3,,,,1.0,,,,,,,
1963,HACIENDA LOS MOLINOS E-18,,,,1.0,,,,1.0,3.0,,
1964,SAN JOAQUIN NORTE E-10,,,,1.0,,,,1.0,1.0,,4.0
1965,ALBALONGA E-11,,,,1.0,,,,,,,
1966,SERAFINA II SECTOR E-4,,,,1.0,,,,,,,
1967,NUEVA ESPERANZA E-7,,,,1.0,,,,,,,
1968,AMERICAS OCCIDENTAL III ETAPA E-8,,,,1.0,,,,,,,
1969,URB. LA FRAGUITA E-15,,,,1.0,,,,,1.0,,
1970,PANAMERICANO E-14,,,,1.0,,,2.0,2.0,,,
1971,LA CUMBRE E-19,,,,1.0,,,,1.0,1.0,,
1972,PARCELAS,,,,1.0,,,,,,,
1973,SUR DE TEUSAQUILLO E-13,,,,1.0,,,,,4.0,,32.0
1974,ARMERO SUR E-5,,,,1.0,,,,,,,
1975,AEROPUERTO PUENTE AEREO,,,,1.0,,,,,4.0,,3.0
1976,SOTAVENTO E-11,,,,1.0,,,,2.0,,,
1977,EL TESORITO E-19,,,,1.0,,,,1.0,4.0,,
1978,PROVENZA E-11,,,,1.0,,,,,,,
1979,MULTIFAMILIARES CARIMAGUA E-8,,,,1.0,,,2.0,,,,
1980,BACHUE I E-10,,,,1.0,,,,2.0,,,12.0
1981,BALTAZAR,,,,1.0,,,,,,,
1982,CORKIDI URBANIZACION E-16,,,,1.0,,,,,,,
1983,CIUDAD SALITRE SPMZ III - 1 -2 E-13,,,,1.0,,,,1.0,,,3.0
1984,ALTOS DE BELLAVISTA E-2,,,,1.0,,,,2.0,1.0,,8.0
1985,LAS VEGAS BOSA E-7,,,,1.0,,,,1.0,4.0,,
1986,EL NOGAL I E-11,,,,1.0,,,,1.0,,,
1987,ALTOS DEL COUNTRY (EL PITE) E-1,,,,1.0,,,,2.0,,,
1988,LAS ACACIAS E-2,,,,1.0,,,,3.0,1.0,,7.0
1989,MATATIGRES E-18,,,,1.0,,,,,1.0,,4.0
1990,CEDRO REAL E-1,,,,1.0,,,,,,,
1991,ALAMEDA DEL SUR E-18,,,,1.0,,,,,2.0,,
1992,VILLA TIMIZA E-8,,,,1.0,,,,,,,
1993,SAN BERNARDINO AIX E-7,,,,1.0,,,,8.0,10.0,,
1994,EL BALCON E-3,,,,1.0,,,,,,,
1995,MALTA E-12,,,,1.0,,,,,,,
1996,JUAN PABLO I E-8,,,,1.0,,,,1.0,,,
1997,VILLEMAR CENTRAL E-9,,,,1.0,,,,,,,
1998,ISRAELITAS E-7,,,,1.0,,,2.0,,,,
1999,SUBA CERROS II E-11,,,,1.0,,,,2.0,2.0,,11.0
2000,MERCEDES DEL NORTE,,,,1.0,,,,,,,
2001,BACHUE II E-10,,,,1.0,,,,1.0,,,2.0
2002,VERONA E-11,,,,1.0,,,,,4.0,,
2003,LA FLORA BAJA E-4,,,,1.0,,,,,2.0,,3.0
2004,MIRADOR DE SUBA E-11,,,,1.0,,,,,,,
2005,ACUARELA E-7,,,,1.0,,,,,,,
2006,MARCELA E-10,,,,1.0,,,,,,,
2007,TORRELADERA CASABLANCA E-11,,,,1.0,,,,1.0,,,
2008,SANTA ROSITA CAFAM E-10,,,,1.0,,,,,,,
2009,EL PORVENIR Y EL DIEGUIN E-10,,,,1.0,,,,,,,
2010,VILLA NYDIA E-1,,,,1.0,,,1.0,,1.0,,
2011,SAN ANTONIO E-11,,,,1.0,,,,,,,
2012,ALAMOS IV E-10,,,,1.0,,,,,,,2.0
2013,NUEVO MONTERREY E-11,,,,1.0,,,,,,,
2014,SAN MARTIN E-12,,,,1.0,,,,1.0,,,
2015,LA COFRADIA E-9,,,,1.0,,,,1.0,,,
2016,SALITRE I SECTOR E-11,,,,1.0,,,,,,,
2017,SANTA RITA SUR I SECTOR E-4,,,,1.0,,,,1.0,4.0,,
2018,CAMPANIA E-11,,,,1.0,,,,,,,
2019,JAIME BERMEO E-11,,,,1.0,,,1.0,1.0,1.0,,
2020,REPUBLICA DEL CANADA - EL PINAR E-4,,,,1.0,,,,2.0,4.0,,
2021,EL RINCON DE LAS VILLAS E-11,,,,1.0,,,,1.0,,,
2022,PRIMAVERA SUR OCCIDENTAL E-19,,,,1.0,,,,,,,
2023,BRASILIA I SECTOR E-8,,,,1.0,,,,,,,4.0
2024,URB. NUEVA SANTA BARBARA CENTRAL E-1,,,,1.0,,,,,,,
2025,VILLA JAVIER E-4,,,,1.0,,,1.0,1.0,1.0,,10.0
2026,ARABIA E-9,,,,1.0,,,,,,,3.0
2027,MILLÁN LOS SAUCES E-19,,,,1.0,,,,,2.0,,
2028,LA CAPILLA E-2,,,,1.0,,,,,,,
2029,NUEVA DELLY E-4,,,,1.0,,,,2.0,3.0,,5.0
2030,EL LLANITO URBANIZACION E-7,,,,1.0,,,,,,,
2031,LA CABAÑA E-7,,,,,,,3.0,3.0,,,19.0
2032,REPUBLICA DE CANADA E-4,,,,,,,3.0,,1.0,,7.0
2033,VILLAS DEL DORADO SAN ANTONIO E-10,,,,,,,3.0,1.0,,,
2034,LA CHUCUA II SECTOR E-11,,,,,,,2.0,,,,5.0
2035,EL RODEO E-4,,,,,,,2.0,,,,
2036,ARGELIA II E-7,,,,,,,2.0,1.0,4.0,,
2037,SAN MIGUEL E-7,,,,,,,2.0,,,,
2038,LA ESTRELLA SECTOR LAGOS E-19,,,,,,,2.0,,1.0,,
2039,SAN BLAS II E-4,,,,,,,2.0,,8.0,,6.0
2040,SEVILLA E-15,,,,,,,2.0,2.0,,,9.0
2041,EL PALMAR E-7,,,,,,,2.0,,,,
2042,GIBRALTAR E-19,,,,,,,2.0,6.0,8.0,,10.0
2043,SANTA CECILIA NORTE PARTE ALTA E-1,,,,,,,2.0,,,,
2044,LA ALAMEDA DEL SUR E-19,,,,,,,2.0,1.0,,,8.0
2045,VILLA CLAVER E-10,,,,,,,2.0,,3.0,,
2046,EL RUBI E-7,,,,,,,2.0,,,,
2047,LA MARIA E-8,,,,,,,2.0,1.0,2.0,,
2048,LOS TRES REYES II SECTOR E-19,,,,,,,2.0,1.0,2.0,,
2049,LA COLMENA E-4,,,,,,,1.0,,2.0,,
2050,"LUCERO BAJO ""CENTRAL TELEFONICA"" E-19",,,,,,,1.0,,,,5.0
2051,CAROLINA II SECTOR E-11,,,,,,,1.0,2.0,1.0,,
2052,SAN BERNARDINO SECTOR POTRERITOS E-7,,,,,,,1.0,,,,5.0
2053,EL PORVENIR SECTOR INDUCAS E-7,,,,,,,1.0,2.0,,,
2054,EL REGALO II SECTOR E-7,,,,,,,1.0,1.0,,,3.0
2055,CHICALA E-11,,,,,,,1.0,,,,
2056,DIVINO NIÑO E-7,,,,,,,1.0,,1.0,,2.0
2057,EL PASEO E-10,,,,,,,1.0,,,,3.0
2058,SAN ISIDRO E-10,,,,,,,1.0,,,,
2059,LOMBARDIA III ETAPA - SECTOR A E-11,,,,,,,1.0,,,,
2060,LOS ROBLES E-9,,,,,,,1.0,,,,
2061,VILLAS DE KENNEDY E-8,,,,,,,1.0,4.0,,,3.0
2062,SAN CARLOS NORTE E-6,,,,,,,1.0,,4.0,,
2063,JOSE DOMINGO LAIN E-19,,,,,,,1.0,,1.0,,
2064,EL SOCIEGO E-4,,,,,,,1.0,,,,13.0
2065,PERPETUO SOCORRO II E-8,,,,,,,1.0,,,,
2066,TEJAR DEL ONTARIO E-6,,,,,,,1.0,,,,
2067,GLORIA LARA DE ECHEVERRY II ETAPA E-11,,,,,,,1.0,3.0,2.0,,2.0
2068,AGUAS CLARAS E-4,,,,,,,1.0,2.0,8.0,,4.0
2069,VILLA MARIA I Y II SECTOR E-11,,,,,,,1.0,1.0,,,7.0
2070,SAN BERNARDO E-18,,,,,,,1.0,,,,
2071,RINCON DE NUEVO MUZO E-6,,,,,,,1.0,,,,
2072,LA CAPELLANIA E-9,,,,,,,1.0,,,,
2073,CIUDAD KENNEDY SPMZ 9B E-8,,,,,,,1.0,,,,
2074,LA CANDELARIA E-11,,,,,,,1.0,,,,5.0
2075,VILLAS DE BOLIVAR E-19,,,,,,,1.0,2.0,,,
2076,EL PORVENIR E-10,,,,,,,1.0,2.0,1.0,,5.0
2077,ANDALUCIA E-1,,,,,,,1.0,,,,2.0
2078,EL VERGEL ORIENTAL E-8,,,,,,,1.0,1.0,2.0,,2.0
2079,SANTA BARBARA E-11,,,,,,,1.0,,,,
2080,MIRADOR DE LOS MOLINOS II SECTOR E-18,,,,,,,1.0,3.0,,,
2081,VILLA ZARZAMORA E-8,,,,,,,1.0,,,,
2082,SAN ISIDRO E-19,,,,,,,1.0,,,,
2083,PRADOS DE SUBA E-11,,,,,,,1.0,1.0,,,
2084,CERROS DE ORIENTE I SECTOR E-18,,,,,,,1.0,1.0,,,
2085,ALQUERIAS DE LA FRAGUA VILLANUEVA E-8,,,,,,,1.0,3.0,,,6.0
2086,VISTA BELLA II SECTOR E-11,,,,,,,1.0,,,,
2087,EL RINCON DEL JURA E-11,,,,,,,1.0,,,,
2088,EL BOSQUE E-4,,,,,,,1.0,,,,
2089,SAN JOAQUIN E-7,,,,,,,1.0,1.0,,,2.0
2090,SAN PEDRO II SECTOR E-7,,,,,,,1.0,,,,
2091,SAN JOSE E-4,,,,,,,1.0,,2.0,,
2092,SAN EUGENIO E-7,,,,,,,1.0,,1.0,,
2093,LUNA PARK E-15,,,,,,,1.0,1.0,,,3.0
2094,EL PARAISO SUR ORIENTAL I SECTOR E-4,,,,,,,1.0,,1.0,,
2095,SAN MARTIN DE PORRES E-2,,,,,,,1.0,,1.0,,
2096,VILLA DIANA E-5,,,,,,,1.0,,1.0,,
2097,LOS SOCHES E-5,,,,,,,1.0,,,,
2098,SAN ANDRES II SECTOR E-8,,,,,,,1.0,1.0,,,
