Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Cr. 92 # 149-30;Campiña;4.7447;-74.084;No VIS;3;Suba;20275;Colinas de Suba;
Cr. 7 # 126-30;Pinar de Santa Bárbara;4.7016;-74.0282;No VIS;38;Usaquén;30712;Reserva de la Sierra;
Tv. 19A # 96-56;Chicó;4.684;-74.0535;No VIS;2;Chapinero;30959;Oqyana;
Av. Suba con 119;Córdoba;4.7066;-74.0675;No VIS;18;Suba;31238;Provenza Imperial;
Cl. 94 # 21-59;Chicó;4.6816;-74.0568;No VIS;5;Chapinero;31422;Art 94;
Cl. 140 # 20-35;Nueva Autopista;4.7236;-74.0485;No VIS;2;Usaquén;31428;Axxes 140;
Cl. 133 # 19-59;Calleja;4.7166;-74.0479;No VIS;24;Usaquén;31451;Area 19;
Cl. 92 # 14-23;Chicó;4.6754;-74.0522;No VIS;5;Chapinero;31486;Massilia;
Cl. 88 # 13-25;Cabrera;4.6719;-74.0524;No VIS;4;Chapinero;31502;El Palco;
Cr. 18C # 123-83;Santa Bárbara;4.7042;-74.0483;No VIS;2;Usaquén;31512;Absolut 123;
Cr. 23 # 137-41;Nueva Autopista;4.723;-74.0503;No VIS;3;Usaquén;31521;Parque de Alcalá;
Tv. 88 # 145-32;Suba;4.7385;-74.0827;No VIS;8;Suba;31542;Cerros de la Lorena;
Cr. 7 # 93-20;Chicó;4.6727;-74.0429;No VIS;2;Chapinero;31567;Vitrum;
Cl. 139 # 96A-35;Suba;4.7387;-74.092;No VIS;63;Suba;31588;Altos de San Jorge;
Cl. 153 # 109B-18;Las Mercedes;4.7575;-74.0946;No VIS;16;Suba;31591;Bosque de Tulipanes;
Cl. 127BBis # 19-36;Calleja;4.7096;-74.049;No VIS;4;Usaquén;31600;Montserrat 127..;
Cr. 89 # 147B-68;S. C. Suba Urbano;4.743;-74.082;No VIS;2;Suba;31605;Agora Casas;
Cl. 121 # 3A-20;Pinar de Santa Bárbara;4.6954;-74.0267;No VIS;7;Usaquén;31613;Cerros de los Alpes III;
Cr. 8 # 127A-01;Bella Suiza;4.7046;-74.0323;No VIS;3;Usaquén;31629;Parque BS;
Dg. 72 # 1-52 Este;Rosales;4.6531;-74.0507;No VIS;5;Chapinero;31635;Lumini;
Cr. 19A # 107-14;Chicó Navarra;4.6948;-74.0512;No VIS;1;Usaquén;31646;Paloalto;
Tv. 5 # 86-91;Rosales;4.6664;-74.045;No VIS;4;Chapinero;31651;Cenit de la Cabrera;
Cr. 16 # 101-46;San Patricio;4.6868;-74.0485;No VIS;1;Usaquén;31652;Tekto Navarra;
Av. Cl. 145 # 114A-50;Córdoba;4.6975;-74.0688;No VIS;1;Suba;31654;Ilarco 114;
Cl. 118 # 11A-05;Santa Bárbara;4.6965;-74.0376;No VIS;1;Usaquén;31656;Vita 118;
Cl. 126D # 104-01;Corinto;4.7284;-74.1023;No VIS;51;Suba;31669;Mirador Corinto Reservado;
Cr. 14A # 109-81;Santa Paula;4.6928;-74.0433;No VIS;1;Usaquén;31670;Jade Plus +;
Cl. 92 # 17-31;Chicó;4.6766;-74.0543;No VIS;5;Chapinero;31675;La Toscana;
Cl. 85 # 7-16;Chicó;4.6655;-74.0469;No VIS;7;Chapinero;31679;Icon Cabrera +;
Cr. 16 # 93-21;Chicó;4.6777;-74.0525;No VIS;4;Chapinero;31680;Balcony 93-16 +;
Cl. 106 # 19A-23;Chicó Navarra;4.6928;-74.0405;No VIS;1;Usaquén;31681;Saga 106;
Cr. 7BBis # 126-84;Santa Bárbara;4.7023;-74.0308;No VIS;1;Usaquén;31688;El Roble 127;
Cr. 7C # 127-44;Bella Suiza;4.7034;-74.0308;No VIS;1;Usaquén;31689;Bau 127;
Cr. 17 # 93A-38;Chicó;4.6787;-74.0527;No VIS;3;Chapinero;31690;Orvieto;
Cl. 109 # 21-57;Chicó Navarra;4.696;-74.0544;No VIS;3;Usaquén;31694;Loretto 109;
Cr. 14A # 127A-36;La Carolina;4.7061;-74.0415;No VIS;3;Usaquén;31702;Marankal;
Cr. 100 # 148-84;Campiña;4.7444;-74.0906;No VIS;2;Suba;31706;Valle del Refous II;
Cr. 13 # 119-71;Santa Bárbara;4.6999;-74.04;No VIS;4;Usaquén;31711;Laya 119;
Cl. 128B # 19-40;Calleja;4.7134;-74.0484;No VIS;30;Usaquén;31718;Saint Thomas;
Cl. 105 # 19A-74;Chicó Navarra;4.6926;-74.053;No VIS;2;Usaquén;31722;Platino Park 105;
Cl. 97 # 21-23;Chicó;4.6841;-74.0554;No VIS;14;Chapinero;31730;Botanika Otium;
Cl. 108 # 45A-51;Pasadena;4.6953;-74.0568;No VIS;2;Suba;31738;Akantos 108 +;
Cr. 18 # 84-56;Antiguo Country;4.6703;-74.0571;No VIS;9;Chapinero;31748;Country 85;
Cl. 88 # 7A-25;Cabrera;4.669;-74.0463;No VIS;10;Chapinero;31749;88 x 8 +;
Cr. 11BBis # 118-97;Santa Bárbara;4.6981;-74.0376;No VIS;2;Usaquén;31756;Lerén 118;
Cr. 51 # 102A-64;Pasadena;4.6909;-74.0618;No VIS;4;Suba;31758;Fenicia Aptos.;
Cr. 23 # 103A-31;Chicó Navarra;4.7018;-74.0533;No VIS;3;Usaquén;31768;Mint 1;
Cl. 121 # 47-56;El Batán;4.7029;-74.0573;No VIS;5;Suba;31769;Villa Pau III;
Cr. 5 # 127B-05;Bella Suiza Oriental;4.7046;-74.0258;No VIS;3;Usaquén;31770;Altos de Bella Suiza;
Cl. 120 # 15A-44;Santa Bárbara;4.6996;-74.0443;No VIS;4;Usaquén;31772;Quanttico 120;
Cr. 7C # 138-52;Belmira;4.7167;-74.031;No VIS;40;Usaquén;31773;Altos de Belmira;
Cr. 7 # 81-26;Cabrera;4.6624;-74.0491;No VIS;8;Chapinero;31776;Metropolitano +;
Cr. 9Bis # 97-20;Chicó;4.679;-74.0426;No VIS;5;Chapinero;31778;Prato +;
Cr. 13A # 109-97;Santa Paula;4.6923;-74.0421;No VIS;20;Usaquén;31782;Alturia 109;
Cl. 98 # 19A-21;Chicó;4.6849;-74.0535;No VIS;1;Chapinero;31783;Artek 98 +;
Cl. 92 # 14-11;Chicó;4.6753;-74.0518;No VIS;4;Chapinero;31789;Novo 92 +;
Cr. 7A # 122-09;Santa Bárbara;4.6986;-74.0312;No VIS;3;Usaquén;31790;Maralta;
Dg. 76 # 1-45;Rosales;4.6552;-74.05;No VIS;1;Chapinero;31791;Solhe;
Cl. 114A # 15-63;Santa Bárbara;4.6955;-74.044;No VIS;9;Usaquén;31795;Urban - Atenea +;
Cr. 15 # 127A-26;La Carolina;4.7069325;-74.042392;No VIS;4;Usaquén;31797;Nou La Carolina;
Cl. 134 # 19A-46;Nueva Autopista;4.7186;-74.0485;No VIS;8;Usaquén;31799;KD Essential;
Cl. 92 # 16-30;Chicó;4.6769;-74.0535;No VIS;2;Chapinero;31803;Liquidambar;
Cr. 11B # 98-36;Chicó;4.6819;-74.0452;No VIS;9;Chapinero;31826;Area 98 +;
Cr. 18A # 134A-17;Contador;4.7192;-74.0463;No VIS;3;Usaquén;31827;Salvatore Apartamentos;
Av. Cl. 145 # 119A-58;Córdoba;4.7069;-74.0702;No VIS;69;Suba;31831;Provenza Prestige;
Cl. 92 # 7A-04;Chicó;4.672;-74.0443;No VIS;10;Chapinero;31833;Quintessence Museo +;
Cl. 105A # 14-76;Santa Paula;4.6895;-74.0458;No VIS;2;Usaquén;31835;Zarkis;
Cl. 96 # 19A-80;Chicó;4.6837;-74.0544;No VIS;42;Chapinero;31841;Terrasse City Club;
Cr. 23 # 137-04;Nueva Autopista;4.7217;-74.0507;No VIS;2;Usaquén;31842;Bella Terra;
Cr. 50 # 106-69;Pasadena;4.6958;-74.0607;No VIS;23;Suba;31843;Pasadena 106 +;
Cl. 135B # 12B-18;Nuevo Country;4.7175;-74.0404;No VIS;1;Usaquén;31844;Antique;
Cl. 95 # 21-80;Chicó;4.6833;-74.056;No VIS;10;Chapinero;31846;Urban K;
Av. Cr. 9 # 104-43;Santa Paula;4.6878;-74.0438;No VIS;18;Usaquén;31847;Davidia 104;
Cr. 14 # 117-14;Santa Bárbara;4.6968;-74.0405;No VIS;12;Usaquén;31849;Sakura;
Cr. 19A # 86A-16;Antiguo Country;4.67299;-74.05722;No VIS;3;Chapinero;31850;Kubik Virrey IV;
Cr. 11 # 93A-38;Chicó;4.6761;-74.0465;No VIS;7;Chapinero;31851;Canvas;
Cl. 153 # 103B-76;Suba Salitre;4.7544;-74.0918;No VIS;5;Suba;31854;Pinar Plaza;
Cl. 126A # 7C-37;Santa Bárbara;4.7023;-74.0319;No VIS;4;Usaquén;31856;NT Tower;
Cl. 101 # 16-47;San Patricio;4.6865;-74.0495;No VIS;4;Usaquén;31857;Equilibrium 101 +;
Cr. 19C # 86A-70;Antiguo Country;4.674057;-74.058026;No VIS;1;Chapinero;31859;Uno y Medio;
Cr. 7 # 155-80;Barrancas;4.730812;-74.024131;No VIS;16;Usaquén;31860;North Point House;
Cr. 20 # 120-50;Santa Bárbara;4.701948;-74.051142;No VIS;2;Usaquén;31861;Vìú Park +;
Cl. 134Bis # 17-62;Contador;4.7181;-74.0453;No VIS;8;Usaquén;31862;Country 134;
Cl. 102A # 46-12;Santa Margarita;4.689382;-74.058368;No VIS;3;Suba;31863;Rigel +;
Cl. 128 # 7E- 40;Bella Suiza;4.70977198;-74.03240529;No VIS;4;Usaquén;31865;Catalonia en Bella Suiza ..;
Cl. 104A # 47A-06;Santa Margarita;4.692382;-74.0589379;No VIS;4;Suba;31866;Essena Park +;
Cr. 52 # 106-74;Pasadena;4.695339;-74.062003;No VIS;2;Suba;31867;Vival Pasadena 52;
Cr. 16A # 86A-79;Antiguo Country;4.672698;-74.055272;No VIS;1;Chapinero;31869;Virrey 86A;
Cr. 7ABis # 124-60;Santa Bárbara;4.700799;-74.029927;No VIS;4;Usaquén;31870;Studio 124 Home Office;
Cr. 7A # 130-47;Bella Suiza;4.708892;-74.02939;No VIS;17;Usaquén;31871;Orbba 130;
Cl. 137B # 104-35;Suba;4.740616;-74.09886;No VIS;1;Suba;31873;Ikará;
Cr. 7B # 124-40;Santa Bárbara;4.700667;-74.030832;No VIS;4;Usaquén;31874;Modena 124 +;
Cl. 80 # 7-29;Cabrera;4.662024;-74.050068;No VIS;2;Chapinero;31875;Neos Nogal ..;
Cl. 108 # 17A-18;San Patricio;4.693413;-74.048339;No VIS;6;Usaquén;31877;Kausary;
Cl. 134C # 12B-36;Lisboa;4.716592;-74.040615;No VIS;16;Usaquén;31879;Antique Reservado;
Cr. 15A # 124-22;Santa Bárbara;4.702441;-74.043577;No VIS;7;Usaquén;31880;Buonvivere 124..;
Cr. 22 # 137-71;Nueva Autopista;4.723292;-74.049387;No VIS;9;Usaquén;31881;Area 137;
Cr. 17A # 122-97;Santa Bárbara;4.702233;-74.046163;No VIS;3;Usaquén;31883;Venetto;
Cr. 19 # 93-53;Chicó;4.678678;-74.054735;No VIS;10;Chapinero;31886;Macedonia;
Cl. 108 # 17A-45;San Patricio;4.69371545;-74.04823926;No VIS;8;Usaquén;31889;108 Green Park;
Cl. 134A # 10A-11;Lisboa;4.71690534;-74.03658597;No VIS;2;Usaquén;31894;Dika;
Cr. 16 # 136-60;Contador;4.71869275;-74.04467813;No VIS;3;Usaquén;31895;Black 136;
Cr. 51 # 103B-24;Pasadena;4.691869;-74.061909;No VIS;1;Suba;31897;Portal 51 ..;
Cl. 95 # 20-28;Chicó;4.682682;-74.054784;No VIS;27;Chapinero;31904;Casa Chicó;
Cr. 21 # 118-34;Santa Bárbara;4.700517;-74.050171;No VIS;1;Usaquén;31907;Edificio Calabria;
Cr. 19A # 134-55;Nueva Autopista;4.718896;-74.04809;No VIS;5;Usaquén;31909;Dual 134 House;
Cr. 18 # 93A-18;Chicó;4.6788918;-74.05354347;No VIS;4;Chapinero;31911;Balcony 93-18;
Cr. 19B # 85-63;Antiguo Country;4.672529;-74.058131;No VIS;5;Chapinero;31915;D.C.;
Cl. 135C # 13-40;Lisboa;4.718815;-74.041104;No VIS;3;Usaquén;31917;Kauri 135;
Tv. 5 # 87-42;Rosales;4.667092;-74.044938;No VIS;6;Chapinero;31922;Ed. Porta 87..;
Cl. 82 # 6-13;Rosales;4.662362;-74.048369;No VIS;4;Chapinero;31923;Antia;
Cr. 7B # 146-20;Belmira;4.722076;-74.028203;No VIS;5;Usaquén;31924;Novo 146;
Tv. 21 # 122-81;Santa Bárbara;4.7037721;-74.0516002;No VIS;12;Usaquén;31926;Balcones de Jericó;
Cl. 131A # 19-49;Calleja;4.715514;-74.048375;No VIS;14;Usaquén;31927;Kioto;
Cr. 23 # 103-87;Chicó Navarra;4.690168;-74.055591;No VIS;2;Usaquén;31929;Klee 103;
Cl. 95 # 19A-09;Chicó;4.682498;-74.053866;No VIS;34;Chapinero;31935;Akai 95;
Cr. 4 # 78-01;Rosales;4.658869;-74.050205;No VIS;1;Chapinero;31936;Taller 6;
Cl. 79B # 4-23;Nogal;4.6603;-74.0489;No VIS;9;Chapinero;31937;Serrania de los Nogales Et. II;
Cl. 106 # 17-35;San Patricio;4.692045;-74.047978;No VIS;8;Usaquén;31938;Torre 106 +;
Cr. 49B # 102A-37;Pasadena;4.6903242;-74.0629412;No VIS;38;Suba;31940;Torre de San Simon + ..;
Cl. 106 # 19A-89;Chicó Navarra;4.693281;-74.053165;No VIS;7;Usaquén;31942;Vasily 106;
Cr. 19A # 106A-30;Chicó Navarra;4.69394477;-74.05132463;No VIS;13;Usaquén;31943;Edificio Domus;
Cl. 145A # 16A-13;Cedritos;4.727171;-74.043031;No VIS;55;Usaquén;31944;Cedro Alto II;
Cr. 16 # 143-85;Cedritos;4.72564;-74.042181;No VIS;2;Usaquén;31945;Via al Cedro V;
Cl. 125 # 17A-03;Santa Bárbara;4.703765;-74.045896;No VIS;6;Usaquén;31946;Element 125;
Cr. 20 # 137-68;Nueva Autopista;4.723478;-74.047898;No VIS;6;Usaquén;31948;Osahar II;
Cr. 20 # 134A-53;Nueva Autopista;4.720218;-74.048728;No VIS;1;Usaquén;31949;Thamara;
Cl. 106 # 21-31;Chicó Navarra;4.693302;-74.053671;No VIS;14;Usaquén;31950;Botanika BioPark;
Cr. 54 # 105-08;Puente Largo;4.694164;-74.06345;No VIS;4;Suba;31951;Nesoi;
Cr. 10 # 134B-10;Lisboa;4.714608;-74.033963;No VIS;17;Usaquén;31952;Oporto Aptos;
Av. Cr. 9 # 117A-21;Santa Bárbara;4.695354;-74.034127;No VIS;8;Usaquén;31954;Ipcua;
Cr. 13A # 127-50;La Carolina;4.707163;-74.039946;No VIS;3;Usaquén;31955;Albatross;
Cl. 124 # 18-43;Santa Bárbara;4.703334;-74.047021;No VIS;4;Usaquén;31956;De Cambil 124;
Cl. 87 # 12-55;Cabrera;4.671339;-74.051782;No VIS;8;Chapinero;31957;Trento;
Cl. 104 # 58A-22;Puente Largo;4.691917;-74.065254;No VIS;5;Suba;31958;La Palma;
Cl. 121 # 45A-31;El Batán;4.702454;-74.05604;No VIS;2;Suba;31959;Protos;
Cl. 118 # 21-05;Santa Bárbara;4.699874;-74.052337;No VIS;5;Usaquén;31960;Habitat 118;
Cr. 20 # 127A-05;Calleja;4.707647;-74.050418;No VIS;5;Usaquén;31961;Maleiwa Park;
Tv. 3 # 84-73;Rosales;4.663179;-74.048354;No VIS;20;Chapinero;31962;ULB Gold;
Cl. 103 # 14-21;Santa Paula;4.687172;-74.04803;No VIS;30;Usaquén;31963;High Park;
Cr. 15 # 136-35;Contador;4.720162;-74.043579;No VIS;11;Usaquén;31964;Maré;
Cl. 103A # 47A-14;Santa Margarita;4.690788;-74.061231;No VIS;16;Suba;31965;Balcony 103 +;
Cl. 87 # 19-09;Antiguo Country;4.673586;-74.056376;No VIS;9;Chapinero;31966;Virrey 87 /19;
Cr. 50 # 106-17;Pasadena;4.694922;-74.060695;No VIS;4;Suba;31968;Portal 50.2 ..;
Cl. 92 # 5-25;Chicó;4.671751;-74.042928;No VIS;6;Chapinero;31971;Edificio 5-93 +..;
Cl. 140 # 22-23;Nueva Autopista;4.723894;-74.049547;No VIS;5;Usaquén;31972;Kavala Stanza;
Cr. 17 # 93-40;Chicó;4.677892;-74.053068;No VIS;3;Chapinero;31973;Teide 93;
Cl. 103 # 14-34;Santa Paula;4.67228;-74.055502;No VIS;5;Chapinero;31975;Capital Lofts;
Cl. 110 # 15-36;San Patricio;4.693698;-74.044999;No VIS;9;Usaquén;31976;Natúa 110;
Cr. 51 # 103B-53;Pasadena;4.69204;-74.061969;No VIS;3;Suba;31977;Umbracle Pasadena;
Cl. 126 # 46-25;El Batán;4.706265;-74.055997;No VIS;4;Suba;31978;Torrearte;
Cl. 97 # 11A-52;Chicó;4.68074512;-74.04580655;No VIS;9;Chapinero;31979;Magnolio;
Cl. 84 # 8-48;Cabrera;4.66562532;-74.04901189;No VIS;7;Chapinero;31980;Octava ..;
Cr. 17A # 102-78;Chicó Norte;4.68816261;-74.04979969;No VIS;4;Usaquén;31982;Maderos;
Cr. 16 # 110-60;San Patricio;4.69461344;-74.04556647;No VIS;2;Usaquén;31986;Casa Artek;
Cr. 10B # 134A-21;Lisboa;4.71487695;-74.03606138;No VIS;21;Usaquén;31987;Lisboa Real;
Cr. 14A # 118-81;Santa Bárbara;4.69790327;-74.04168109;No VIS;16;Usaquén;31989;Torre Sakai;
Cr. 21 # 135-60;Nueva Autopista;4.72071311;-74.04896893;No VIS;6;Usaquén;31992;Jaén Aptos;
Cr. 16 # 95-14;Chicó;4.68143432;-74.05020642;No VIS;31;Chapinero;31993;16-95 Apartamentos;
Cr. 18 # 122-44;Santa Bárbara;4.70187542;-74.04669453;No VIS;6;Usaquén;31994;Area 122;
Cr. 11B # 135C-45;Lisboa;4.71669497;-74.03881352;No VIS;42;Usaquén;31995;Rincón de Antigua;
Cr. 14B # 112-45;Santa Bárbara;4.69519472;-74.04277068;No VIS;21;Usaquén;31997;Arona;
Cr. 9 # 104A-39;Santa Paula;4.68810997;-74.04340889;No VIS;44;Usaquén;31998;Luminium;
Cl. 127 # 7-71;Santa Bárbara;4.70192319;-74.02933368;No VIS;47;Usaquén;31999;Uptown 127;
Cl. 103 # 15-60;Chicó Navarra;4.68842171;-74.04797818;No VIS;4;Usaquén;32000;103 Senior Living Aptos;
Cr. 12 # 113-23;Santa Bárbara;4.69383405;-74.0397676;No VIS;8;Usaquén;32001;Bosque Alto;
Cr. 12 # 116-91;Santa Bárbara;4.69673416;-74.03937109;No VIS;6;Usaquén;32002;Grazia;
Cr. 15A # 118-73;Santa Bárbara;4.69831942;-74.04411643;No VIS;13;Usaquén;32003;C 118;
Tv. 58 # 106-41;Puente Largo;4.69413221;-74.06641476;No VIS;5;Suba;32004;Ciento Seis 41 ..;
Cl. 102 Cr. 53;Pasadena;4.68901173;-74.06248934;No VIS;100;Suba;32005;Ciien;
Cr. 7A # 130-07;Bella Suiza;4.7085702;-74.02941996;No VIS;46;Usaquén;32007;Reserva de Ginebra;
Cr. 18 # 93-15;Chicó;4.67819857;-74.05417489;No VIS;12;Chapinero;32010;Area 93 +;
Cr. 48 # 124-69;El Batán;4.70585976;-74.05742014;No VIS;9;Suba;32011;Edificio San Pedro;
Cr. 14A # 103-92;Santa Paula;4.68818107;-74.04595627;No VIS;10;Usaquén;32012;City Live 104;
Cr. 18A # 137-73;Contador;4.72269064;-74.0457708;No VIS;19;Usaquén;32013;Mandala 140;
Cr. 50A # 122-11;El Batán;4.70392378;-74.05952354;No VIS;12;Suba;32014;Miyazu 122;
Cr. 1 # 78-21 Este;Rosales;4.65791138;-74.04758868;No VIS;10;Chapinero;32015;Icono 77 - Rosales ..;
Cl. 112 # 1-03;Santa Ana Oriental;4.68851031;-74.02797251;No VIS;2;Usaquén;32016;Edificio Amaya *;
Cl. 103 Av. 19;Chico Navarra;4.68863517;-74.05194182;No VIS;30;Usaquén;32017;Torre Impulsa;
Cl. 127A # 18B-62;Calleja Alta;4.70759191;-74.04779901;No VIS;17;Usaquén;32018;127 Park;
Cr. 17A # 106A-28;San Patricio;4.69270833;-74.04828988;No VIS;2;Usaquén;32019;Quo 106;
Cl. 122 # 22-25;Santa Bárbara;4.70222488;-74.05287013;No VIS;4;Usaquén;32020;Rissani;
Tv. 23 # 95-79;Chicó;4.683927427;-74.05673847;No VIS;66;Chapinero;32021;96 Click;
Cl. 93 # 16-15;Chicó;4.677145686;-74.05319977;VIS;39;Chapinero;32022;Nova Iorque;
AutoNorte # 95- 86;Chicó;4.684374892;-74.05699842;No VIS;21;Chapinero;32023;Tokyo + Zero;
Cl. 116 # 18B-08;Santa Bárbara;4.698700133;-74.04864963;No VIS;50;Usaquén;32024;Vìú Park 118;
Cr. 19 # 127-44;Calleja Alta;4.706309387;-74.04840291;No VIS;51;Usaquén;32025;Club House 127;
Cr. 18 # 137-58;Cedritos;4.722083878;-74.04478549;No VIS;25;Usaquén;32026;KD Azul;
Cr. 8A # 108A-19;Santa Ana Oriental;4.689679659;-74.03838939;No VIS;47;Usaquén;32027;Torre de la Stazione +;
Cr. 7BBis # 123-44;Santa Bárbara;4.699640242;-74.03164073;No VIS;22;Usaquén;32028;El Roble 124;
Cl. 106A # 57-40;Puente Largo;4.69476818;-74.06635135;No VIS;8;Suba;32029;Edificio Millenium;
Cl. 94 # 17-31;Chicó;4.680082266;-74.05250086;No VIS;27;Chapinero;32030;Benialt 94;
Cr. 15 # 135-04;Nuevo Country;4.717964041;-74.04200163;No VIS;35;Usaquén;32031;Privatto;
Cr. 54 # 106-15;Pasadena;4.694939192;-74.06355376;No VIS;15;Suba;32032;Nativo 106;
Av. Cr. 72 # 129-01;Sotileza;4.723;-74.076;No VIS;2;Suba;40502;BranteVilla Bosque Res.;
Cr. 15 # 173-25;La Alameda;4.7536;-74.0374;No VIS;38;Usaquén;40657;Alameda Plaza;
Cl. 131 # 78A-61;Colinas de Suba;4.7237;-74.0774;No VIS;8;Suba;40709;Bosque Verde;
Cr. 76 # 160-15;Colinas de Suba;4.7449;-74.0724;No VIS;1;Suba;40754;Ventto;
Cr. 79C # 129-20;Colinas de Suba;4.7225;-74.0788;No VIS;2;Suba;40801;Montereserva;
Cr. 11A # 191-52;Maranta;4.7693;-74.032;No VIS;2;Usaquén;40871;Kepler;
Cr. 80 # 151-31;Torreladera;4.7429;-74.0764;No VIS;8;Suba;40929;Torreladera Bosque Res. Aptos.;
Av. Cl. 127 # 87-51;Altos de los Lagartos;4.7135;-74.089;No VIS;1;Suba;40941;Gallery Lagartos;
Av. Cr. 9A # 146-45;Cedritos;4.7249;-74.0326;No VIS;4;Usaquén;40966;Milano Park;
Cr. 87 # 131C-11;Provenza;4.7291;-74.084;No VIS;2;Suba;40999;Camino del Bosque Casas;
Cl. 128B # 80-17;Sotileza;4.7188;-74.0816;No VIS;3;Suba;41004;Cerros de Sotileza;
Cr. 19A # 173-70;La Uribe;4.7548;-74.0408;No VIS;5;Usaquén;41011;Támesis 175;
San Simón vía. Guayamaral;Guaymaral;4.812134;-74.050008;No VIS;4;Suba;41019;El Mimbre *;
Cr. 54D # 134-51;Colina Campestre;4.7234;-74.0607;No VIS;16;Suba;41027;Hacienda Reservada;
Cr. 56 # 167C-70;Britalia Norte;4.752;-74.0574;No VIS;15;Suba;41072;La Bella Fontana;
Cl. 152B # 74-77;Colina Campestre;4.741;-74.0708;No VIS;22;Suba;41081;Nogales;
Cr. 58C # 147-81;Colina Campestre;4.7364;-74.0649;No VIS;4;Suba;41094;Rossetti;
Cl. 161 # 54-25;Sotavento;4.7422;-74.0551;No VIS;52;Suba;41112;Alejandría - Faro;
Cl. 159 # 54-35;Sotavento;4.7403;-74.0556;No VIS;14;Suba;41115;Alejandría - Azimut;
Cr. 54 # 153-75;Sotavento;4.7403;-74.055;No VIS;129;Suba;41116;Alejandría - Vintage;
Cl. 159 # 54-69;Sotavento;4.7404;-74.0563;No VIS;22;Suba;41118;Alejandría - Portus;
Cl. 159 # 54-36;Sotavento;4.7413;-74.0549;No VIS;62;Suba;41119;Alejandría - Mediterráneo;
Cr. 52A # 175-66;Villa del Prado;4.7576;-74.0504;No VIS;66;Suba;41125;Parque Baviera;
Cl. 137 # 55-42;Colina Campestre;4.7254;-74.0613;No VIS;3;Suba;41126;Arany;
Av. Cr. 72 # 93-25;Lagartos;4.6973;-74.0851;No VIS;4;Suba;41127;Pontenovo;
Cr. 7F # 145-88;Cedritos;4.7228;-74.0304;No VIS;2;Usaquén;41131;Imoval XIII;
Cl. 147 # 12-80;Cedritos;4.7275;-74.0361;No VIS;7;Usaquén;41144;Gaia 147;
Cl. 143 # 18-31;Cedritos;4.7245;-74.0451;No VIS;2;Usaquén;41153;ICR 143;
Cr. 81 # 212-41;Guaymaral;4.79238618;-74.06200989;No VIS;1;Suba;41161;Reserva del Otoñal;
Cl. 142 # 11-40;Cedritos;4.7216;-74.0358;No VIS;11;Usaquén;41167;Botanika Telus;
Cl. 168 # 8D-25;Santa Teresa;4.7451;-74.0272;No VIS;30;Usaquén;41174;Terraverde;
Cl. 152C # 72-65;Gratamira;4.7426;-74.067;No VIS;6;Suba;41187;Veramonte - Macana;
Cr. 55 # 152B-68;Mazuren;4.7389;-74.0555;No VIS;6;Suba;41204;Reserva de Mazurén;
Cl. 147 # 11-10;Cedritos;4.7261;-74.0332;No VIS;41;Usaquén;41211;Cedritos 147;
Cr. 55A # 167A-19;Britalia Norte;4.7503;-74.0566;No VIS;2;Suba;41221;Park 170;
Cl. 145 # 15-75;Cedritos;4.7264;-74.0431;No VIS;3;Usaquén;41222;Imoval XIV;
Cr. 7 # 158-51;Barrancas;4.7344;-74.0251;No VIS;107;Usaquén;41226;Séptima Avenida;
Cr. 57 # 160-15;Gilmar;4.7432;-74.0603;No VIS;1;Suba;41230;Terragrata;
Cl. 170 # 56-45;Britalia Norte;4.7535;-74.0578;No VIS;14;Suba;41238;Belgrano;
Cr. 16 # 143-08;Cedritos;4.7247;-74.042;No VIS;1;Usaquén;41239;Cedros 143;
Cl. 152B # 56-62;Colina Campestre;4.7393;-74.0608;No VIS;10;Suba;41240;Klimt;
Cr. 56 # 152B-71;Colina Campestre;4.7399;-74.06;No VIS;72;Suba;41248;Picabia;
Cl. 170 # 7A-17;Santa Teresa;4.7453;-74.0248;No VIS;37;Usaquén;41249;Miramont Park;
Cr. 87 # 131C-11;Provenza;4.7291;-74.084;No VIS;23;Suba;41251;Camino del Bosque Aptos;
Cr. 15 # 145-59;Cedritos;4.7271;-74.0416;No VIS;1;Usaquén;41253;Pinar del Country;
Cl. 147 # 72C-06;Colina Campestre;4.738193;-74.067836;No VIS;112;Suba;41272;Pratum;
Cl. 187A # 8-46;Tibabita;4.7641;-74.0295;No VIS;3;Usaquén;41284;Terrazze 187;
Cl. 150A # 53A-55;Prado Pinzón;4.7336;-74.0552;No VIS;1;Suba;41311;Ed. Confort 150;
Cr. 8D # 192-40;Tibavita;4.7694;-74.03;No VIS;5;Usaquén;41312;Ed. San Rafael;
Cl. 170 # 69-45;Britalia Norte;4.7591;-74.0653;No VIS;141;Suba;41325;Baviera;
Cl. 167D # 8-33;Santa Teresa;4.7447;-74.0257;No VIS;19;Usaquén;41326;Íkona 167;
Cr. 73 # 152B-65;Gratamira;4.7416;-74.0673;No VIS;24;Suba;41330;Veramonte - Teca;
Cl. 183 # 7A-41;San Antonio;4.7601;-74.0278;No VIS;6;Usaquén;41336;Ladera 183;
Cr. 58BBis # 128B-14;Las Villas;4.717;-74.0706;No VIS;2;Suba;41342;Axxes 128;
Cl. 165B # 56B-20;Cantalejo;4.748415;-74.058957;No VIS;3;Suba;41368;Itzatá Reservado;
