Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Av. Cr. 14 # 58-58;Chapinero;4.64559;-74.065045;No VIS;23;Chapinero;50851;Oikos Infinitum +;
Cr. 5 # 20-39;Centro;4.605305;-74.069952;No VIS;58;Santa Fe;50855;Torre Barcelona Cond. Estudiantil;
Dg. 49ABisA Sur # 13J-91;Marco Fidel Suarez;4.567014;-74.125517;VIS;232;Rafael Uribe Uribe;50860;Caracas Avenida *;
Cr. 49 # 91-50;La Castellana;4.679999;-74.06195;No VIS;3;Barrios Unidos;50869;Castellana Plaza +;
Cr. 2 # 79-18 Sur;Yomasa;4.509709;-74.106016;VIS;64;Usme;50883;Senderos de la Sierra;
Cr. 25 # 24C-44;Centro;4.621293;-74.077457;No VIS;24;Los Mártires;50884;Zima 26 ..;
Cl. 11 # 1-60;Centro;4.595076;-74.070041;No VIS;2;La Candelaria;50888;Antigua La Candelaria;
Cl. 49 # 5-34;Chapinero Alto;4.635894;-74.062595;No VIS;7;Chapinero;50889;Montecarlo Village +;
Cr. 3 # 58-27;Chapinero Alto;4.64271;-74.058792;No VIS;3;Chapinero;50892;Nova 58;
Cr. 27 # 31A-36 Sur;Libertador;4.588138;-74.116865;No VIS;8;Rafael Uribe Uribe;50903;Mirador +;
Cr. 24 # 71A-85;Alcazares;4.662994;-74.067832;No VIS;143;Barrios Unidos;50905;72 Hub;
Cr. 31 # 5C-10;Veraguas;4.607451;-74.099872;No VIS;10;Puente Aranda;50907;Torre Estelar;
Cl. 59 # 14A-82;San Luis;4.646689;-74.067049;No VIS;1;Teusaquillo;50909;Midtown 59;
Cr. 5 # 20-39;Centro;4.605305;-74.069952;No VIS;15;Santa Fe;50913;Torre Barcelona Aptos.;
Cr. 36 # 4-71;Primavera;4.608646;-74.106321;No VIS;5;Puente Aranda;50916;Verona Parque Res.;
Cr. 35 # 63C-45;El Rosario;4.655683;-74.07897;No VIS;3;Barrios Unidos;50917;Parque El Lago;
Cl. 52 # 18-34;Alfonzo Lopez;4.640173;-74.070354;No VIS;2;Teusaquillo;50919;Makapi Lights;
Cl. 32 # 5-21;San Martin;4.6174;-74.066322;No VIS;33;Santa Fe;50926;La Quinta;
Cl. 33 # 6-37;Centro;4.619021;-74.066467;No VIS;15;Santa Fe;50929;Frontier;
Cl. 48 Sur # 4-90 Este;Nueva Roma;4.541979;-74.095608;VIS;12;San Cristóbal;50938;Reserva Entre Nubes;
Cr. 1G # 98-21 Sur;La Esperanza;4.494961;-74.109731;VIS;1;Usme;50939;Zasca Aptos.;
